release_year,country_list,movie_count
2006,Turkey,2
2006,United Kingdom,7
2006,United States,68
2007,Argentina,1
2007,Canada,3
2007,Denmark,1
2007,Egypt,2
2007,France,2
2007,Germany,2
2007,Hong Kong,3
2007,India,19
2007,Japan,1
2007,Mexico,1
2007,New Zealand,1
2007,Philippines,1
2007,Thailand,2
2007,United Kingdom,3
2007,United States,64
2007,Venezuela,1
2008,Australia,1
2008,Canada,4
2008,Chile,1
2008,China,1
2008,Egypt,5
2008,France,1
2008,Germany,5
2008,Hong Kong,2
2008,India,31
2008,Indonesia,3
2008,Japan,2
2008,Philippines,3
2008,Saudi Arabia,1
2008,Spain,1
2008,Sweden,1
2008,Thailand,1
2008,United Kingdom,10
2008,United States,79
2009,Canada,2
2009,China,2
2009,Czech Republic,1
2009,Egypt,4
2009,France,1
2009,Germany,3
2009,Hong Kong,3
2009,India,31
2009,Indonesia,3
2009,Japan,2
2009,Malaysia,1
2009,Nigeria,1
2009,Philippines,1
2009,South Africa,1
2009,South Korea,2
2009,Spain,1
2009,Thailand,2
2009,Turkey,1
2009,United Kingdom,8
2009,United States,90
2010,Australia,1
2010,Canada,6
2010,Egypt,5
2010,France,4
2010,Germany,2
2010,Hong Kong,4
2010,India,38
2010,Japan,5
2010,Lebanon,2
2010,Mexico,1
2010,Nigeria,1
2010,Philippines,1
2010,Romania,1
2010,South Africa,1
2010,Spain,1
2010,Thailand,4
2010,Turkey,5
2010,United Kingdom,7
2010,United States,98
2011,Australia,1
2011,Canada,4
2011,China,1
2011,Denmark,1
2011,Egypt,8
2011,France,3
2011,Hong Kong,2
2011,India,34
2011,Indonesia,4
2011,Iran,1
2011,Ireland,1
2011,Japan,3
2011,Philippines,1
2011,Singapore,1
2011,Thailand,4
2011,Turkey,3
2011,United Kingdom,18
2011,United States,106
2012,Australia,3
2012,Brazil,2
2012,Canada,6
2012,Egypt,9
2012,France,2
2012,Germany,3
2012,India,40
2012,Indonesia,2
2012,Israel,1
2012,Japan,3
2012,Lebanon,2
2012,Mexico,2
2012,Nigeria,2
2012,Philippines,4
2012,Russia,1
2012,Saudi Arabia,1
2012,Singapore,1
2012,South Africa,3
2012,South Korea,1
2012,Spain,1
2012,Sweden,1
2012,Tanzania,1
2012,Thailand,3
2012,Turkey,3
2012,United Kingdom,11
2012,United States,118
2013,Argentina,1
2013,Australia,1
2013,Brazil,3
2013,Canada,5
2013,Chile,1
2013,Denmark,3
2013,Egypt,5
2013,France,3
2013,Germany,3
2013,Hong Kong,4
2013,India,56
2013,Indonesia,3
2013,Israel,1
2013,Italy,2
2013,Japan,6
2013,Lebanon,1
2013,Malaysia,1
2013,Mexico,1
2013,Nigeria,2
2013,Norway,1
2013,Pakistan,1
2013,Philippines,6
2013,Russia,1
2013,South Africa,2
2013,South Korea,1
2013,Switzerland,3
2013,Thailand,1
2013,Turkey,6
2013,United Kingdom,18
2013,United States,119
2014,Afghanistan,1
2014,Argentina,1
2014,Australia,5
2014,Austria,1
2014,Brazil,1
2014,Bulgaria,1
2014,Canada,18
2014,China,1
2014,Denmark,5
2014,Egypt,4
2014,France,8
2014,Germany,6
2014,Hong Kong,4
2014,India,51
2014,Indonesia,1
2014,Israel,1
2014,Japan,4
2014,Kenya,1
2014,Lebanon,1
2014,Malaysia,1
2014,Mexico,3
2014,Nigeria,3
2014,Norway,2
2014,Pakistan,1
2014,Philippines,4
2014,Romania,1
2014,Singapore,1
2014,Spain,1
2014,Sweden,1
2014,Thailand,2
2014,Turkey,9
2014,United Arab Emirates,3
2014,United Kingdom,27
2014,United States,139
2014,Venezuela,1
2014,Vietnam,1
2015,Argentina,3
2015,Australia,9
2015,Belgium,1
2015,Brazil,3
2015,Canada,20
2015,Chile,3
2015,China,3
2015,Croatia,1
2015,Denmark,1
2015,Egypt,2
2015,Finland,1
2015,France,16
2015,Germany,6
2015,Hong Kong,2
2015,India,58
2015,Indonesia,4
2015,Ireland,3
2015,Israel,3
2015,Italy,4
2015,Japan,5
2015,Lebanon,1
2015,Malaysia,2
2015,Mexico,6
2015,Netherlands,6
2015,New Zealand,2
2015,Nigeria,5
2015,Pakistan,3
2015,Peru,1
2015,Philippines,10
2015,Romania,2
2015,Russia,2
2015,Singapore,1
2015,South Africa,4
2015,South Korea,2
2015,Spain,11
2015,Thailand,2
2015,Turkey,10
2015,United Arab Emirates,2
2015,United Kingdom,35
2015,United States,185
2015,Vietnam,1
2016,Argentina,7
2016,Australia,7
2016,Austria,2
2016,Belgium,4
2016,Brazil,6
2016,Bulgaria,1
2016,Canada,30
2016,Chile,5
2016,China,12
2016,Czech Republic,3
2016,Denmark,5
2016,Egypt,6
2016,Finland,1
2016,France,24
2016,Germany,11
2016,Hong Kong,7
2016,Hungary,1
2016,India,87
2016,Indonesia,8
2016,Iran,1
2016,Ireland,7
2016,Israel,2
2016,Italy,5
2016,Japan,10
2016,Malaysia,1
2016,Mexico,16
2016,Netherlands,4
2016,New Zealand,4
2016,Nigeria,13
2016,Norway,3
2016,Pakistan,4
2016,Peru,1
2016,Philippines,10
2016,Portugal,2
2016,Romania,2
2016,Russia,1
2016,Saudi Arabia,1
2016,Serbia,1
2016,Singapore,1
2016,Slovenia,1
2016,South Africa,4
2016,South Korea,6
2016,Spain,18
2016,Sweden,5
2016,Switzerland,2
2016,Thailand,1
2016,Turkey,9
2016,United Arab Emirates,3
2016,United Kingdom,71
2016,United States,297
2016,Vietnam,1
2017,Afghanistan,1
2017,Argentina,10
2017,Australia,11
2017,Austria,2
2017,Bangladesh,1
2017,Belgium,1
2017,Brazil,10
2017,Bulgaria,2
2017,Cambodia,2
2017,Canada,35
2017,Chile,2
2017,China,13
2017,Colombia,1
2017,Czech Republic,2
2017,Denmark,4
2017,Egypt,11
2017,Finland,1
2017,France,21
2017,Georgia,1
2017,Germany,9
2017,Ghana,1
2017,Greece,1
2017,Guatemala,1
2017,Hong Kong,1
2017,Hungary,1
2017,Iceland,2
2017,India,123
2017,Indonesia,8
2017,Ireland,8
2017,Israel,2
2017,Italy,9
2017,Japan,12
2017,Kuwait,1
2017,Lebanon,3
2017,Mexico,12
2017,Netherlands,3
2017,New Zealand,1
2017,Nigeria,13
2017,Norway,1
2017,Pakistan,4
2017,Peru,3
2017,Philippines,8
2017,Poland,2
2017,Serbia,1
2017,Singapore,1
2017,Somalia,1
2017,South Africa,7
2017,South Korea,9
2017,Spain,23
2017,Sweden,3
2017,Switzerland,2
2017,Thailand,4
2017,Turkey,8
2017,United Arab Emirates,1
2017,United Kingdom,60
2017,United States,386
2017,Uruguay,1
2017,Venezuela,1
2017,Zimbabwe,1
2018,Argentina,11
2018,Australia,10
2018,Austria,1
2018,Bangladesh,2
2018,Belgium,2
2018,Brazil,8
2018,Bulgaria,1
2018,Canada,43
2018,Chile,4
2018,China,12
2018,Colombia,8
2018,Denmark,4
2018,Egypt,9
2018,France,23
2018,Georgia,1
2018,Germany,8
2018,Ghana,2
2018,Greece,1
2018,Hong Kong,3
2018,Hungary,1
2018,Iceland,1
2018,India,118
2018,Indonesia,16
2018,Ireland,6
2018,Israel,3
2018,Italy,7
2018,Jamaica,1
2018,Japan,12
2018,Kenya,1
2018,Kosovo,1
2018,Kuwait,1
2018,Lebanon,1
2018,Malaysia,6
2018,Mexico,14
2018,Netherlands,5
2018,New Zealand,3
2018,Nigeria,16
2018,Norway,5
2018,Pakistan,4
2018,Paraguay,1
2018,Peru,1
2018,Philippines,9
2018,Poland,2
2018,Romania,1
2018,Russia,1
2018,Singapore,2
2018,South Africa,3
2018,South Korea,13
2018,Spain,32
2018,Sweden,2
2018,Switzerland,2
2018,Syria,1
2018,Taiwan,4
2018,Thailand,2
2018,Turkey,7
2018,United Arab Emirates,5
2018,United Kingdom,67
2018,United States,355
2018,Uruguay,2
2019,Argentina,7
2019,Australia,12
2019,Austria,3
2019,Brazil,10
2019,Bulgaria,1
2019,Canada,33
2019,Chile,2
2019,China,5
2019,Colombia,4
2019,Denmark,2
2019,Egypt,5
2019,Finland,2
2019,France,25
2019,Germany,9
2019,Ghana,1
2019,Hong Kong,3
2019,Hungary,1
2019,India,128
2019,Indonesia,9
2019,Ireland,4
2019,Israel,1
2019,Italy,12
2019,Japan,9
2019,Kenya,1
2019,Kuwait,2
2019,Lebanon,2
2019,Malaysia,2
2019,Mexico,10
2019,Mozambique,1
2019,Namibia,1
2019,Netherlands,1
2019,New Zealand,1
2019,Nigeria,16
2019,Philippines,14
2019,Poland,2
2019,Romania,4
2019,Serbia,1
2019,Singapore,1
2019,South Africa,3
2019,South Korea,6
2019,Spain,22
2019,Sweden,1
2019,Switzerland,2
2019,Taiwan,2
2019,Thailand,5
2019,Turkey,6
2019,United Arab Emirates,7
2019,United Kingdom,62
2019,United States,370
2019,Uruguay,3
2019,Vietnam,2
2020,Argentina,7
2020,Australia,8
2020,Austria,3
2020,Brazil,11
2020,Cameroon,1
2020,Canada,24
2020,Chile,2
2020,China,6
2020,Colombia,2
2020,Egypt,1
2020,France,12
2020,Germany,15
2020,Iceland,1
2020,India,83
2020,Indonesia,15
2020,Italy,13
2020,Japan,21
2020,Kenya,1
2020,Kosovo,1
2020,Malaysia,1
2020,Mexico,11
2020,Netherlands,2
2020,Nigeria,12
2020,Norway,3
2020,Pakistan,1
2020,Philippines,4
2020,Poland,6
2020,Portugal,2
2020,Russia,2
2020,Saudi Arabia,2
2020,Singapore,1
2020,South Africa,3
2020,South Korea,4
2020,Spain,15
2020,Sweden,2
2020,Taiwan,8
2020,Thailand,2
2020,Turkey,3
2020,United Kingdom,46
2020,United States,305
2020,Uruguay,1
2020,Vietnam,1
2021,Argentina,1
2021,Australia,3
2021,Belgium,3
2021,Brazil,3
2021,Canada,2
2021,China,7
2021,Colombia,2
2021,Egypt,1
2021,France,6
2021,Germany,3
2021,Hungary,1
2021,India,48
2021,Indonesia,4
2021,Italy,5
2021,Japan,4
2021,Mauritius,1
2021,Mexico,5
2021,Netherlands,2
2021,New Zealand,1
2021,Nigeria,2
2021,Poland,3
2021,Russia,1
2021,Saudi Arabia,1
2021,South Africa,4
2021,South Korea,6
2021,Spain,7
2021,Sweden,2
2021,Switzerland,1
2021,Thailand,2
2021,Turkey,2
2021,United Arab Emirates,1
2021,United Kingdom,12
2021,United States,84
2021,Vietnam,1
